x y U eU B eB V eV R eR I eI J eJ H eH K eK U_B eU_B B_V eB_V V_I eV_I R_I eR_I Q_UB eQ_UB field probability
1131.636 1081.524 23.386 0.497 22.824 0.227 20.778 0.097 19.848 0.071 18.569 0.052 17.359 0.068 16.495 0.053 16.197 0.048 0.562 0.54639 2.046 0.24686 2.209 0.11006 1.279 0.08801 -0.91112 0.63587 0 0.99167
1003.137 1168.595 24.344 0.495 22.433 0.226 20.824 0.096 19.744 0.071 18.668 0.052 17.201 0.068 16.421 0.053 16.201 0.048 1.911 0.54415 1.609 0.24554 2.156 0.10918 1.076 0.08801 0.75252 0.63317 0 0.98333
1024.765 1022.229 23.344 0.493 22.611 0.225 20.732 0.096 19.842 0.071 18.67 0.052 17.235 0.068 16.524 0.053 16.299 0.048 0.733 0.54192 1.879 0.24462 2.062 0.10918 1.172 0.08801 -0.61988 0.63055 0 0.99167
1087.258 1002.873 24.039 0.49 22.702 0.224 20.789 0.096 19.815 0.071 18.671 0.051 17.126 0.068 16.479 0.053 16.132 0.048 1.337 0.53877 1.913 0.2437 2.118 0.10871 1.144 0.08742 -0.04036 0.62715 0 0.65833
1205.975 1035.339 23.409 0.488 22.459 0.223 20.857 0.096 19.799 0.071 18.642 0.051 17.206 0.068 16.427 0.053 16.081 0.048 0.95 0.53654 1.602 0.24279 2.215 0.10871 1.157 0.08742 -0.20344 0.62453 0 0.03333
1419.322 521.431 23.505 0.485 22.214 0.223 20.864 0.095 19.818 0.07 18.689 0.051 17.104 0.068 16.476 0.053 16.208 0.048 1.291 0.53381 1.35 0.24239 2.175 0.10782 1.129 0.08661 0.319 0.62211 0 0.1
756.978 969.797 23.881 0.483 22.464 0.222 20.815 0.095 19.792 0.07 18.656 0.051 17.204 0.067 16.459 0.053 16.202 0.048 1.417 0.53158 1.649 0.24147 2.159 0.10782 1.136 0.08661 0.22972 0.61949 0 0
887.46 1248.135 23.766 0.481 22.535 0.221 20.78 0.095 19.821 0.07 18.572 0.051 17.183 0.067 16.548 0.053 16.134 0.048 1.231 0.52934 1.755 0.24055 2.208 0.10782 1.249 0.08661 -0.0326 0.61687 0 0.38333
711.113 796.368 23.753 0.479 22.807 0.22 20.907 0.095 19.727 0.07 18.648 0.051 17.071 0.067 16.414 0.053 16.084 0.047 0.946 0.52711 1.9 0.23964 2.259 0.10782 1.079 0.08661 -0.422 0.61425 0 0.90833
878.842 1348.064 23.858 0.476 22.515 0.219 20.929 0.094 19.796 0.07 18.55 0.051 16.966 0.067 16.414 0.052 16.087 0.047 1.343 0.52396 1.586 0.23832 2.379 0.10694 1.246 0.08661 0.20108 0.61077 0 0.04167
914.817 1178.901 23.067 0.474 22.751 0.219 20.838 0.094 19.762 0.07 18.6 0.051 17.16 0.067 16.367 0.052 16.16 0.047 0.316 0.52215 1.913 0.23832 2.238 0.10694 1.162 0.08661 -1.06136 0.60922 0 0.99167
890.891 1377.985 23.538 0.472 22.378 0.218 20.695 0.094 19.768 0.069 18.547 0.051 17.059 0.067 16.447 0.052 16.112 0.047 1.16 0.51991 1.683 0.2374 2.148 0.10694 1.221 0.0858 -0.05176 0.6066 0 0.41667
1065.57 1019.64 23.473 0.47 22.423 0.217 20.708 0.094 19.671 0.069 18.634 0.051 17.066 0.066 16.351 0.052 16.125 0.047 1.05 0.51768 1.715 0.23648 2.074 0.10694 1.037 0.0858 -0.1848 0.60398 0 0
820.46 670.967 23.329 0.468 22.732 0.216 20.698 0.093 19.839 0.069 18.611 0.05 17.038 0.066 16.425 0.052 16.095 0.047 0.597 0.51544 2.034 0.23517 2.087 0.10559 1.228 0.08521 -0.86748 0.60128 0 0.99167
1078.598 1115.293 23.038 0.466 22.161 0.215 20.641 0.093 19.82 0.069 18.591 0.05 17.012 0.066 16.31 0.052 16.109 0.047 0.877 0.51321 1.52 0.23425 2.05 0.10559 1.229 0.08521 -0.2174 0.59866 0 0.025
1474.472 1458.746 24.273 0.464 22.904 0.214 20.669 0.093 19.607 0.069 18.525 0.05 16.998 0.066 16.457 0.052 16.19 0.047 1.369 0.51097 2.235 0.23333 2.144 0.10559 1.082 0.08521 -0.2402 0.59604 0 0.125
1175.514 977.687 23.638 0.461 22.675 0.214 20.793 0.093 19.557 0.069 18.582 0.05 17.02 0.066 16.369 0.052 15.987 0.047 0.963 0.50825 1.882 0.23333 2.211 0.10559 0.975 0.08521 -0.39204 0.59371 0 0.90833
1040.876 995.688 23.995 0.459 22.138 0.213 20.806 0.092 19.565 0.069 18.542 0.05 17.061 0.066 16.462 0.052 16.054 0.047 1.857 0.50601 1.332 0.23202 2.264 0.10471 1.023 0.08521 0.89796 0.59101 0 0.99167
1035.8 1069.549 22.645 0.457 22.376 0.212 20.756 0.092 19.73 0.068 18.53 0.05 16.973 0.065 16.373 0.052 16.097 0.047 0.269 0.50378 1.62 0.2311 2.226 0.10471 1.2 0.0844 -0.8974 0.58839 0 0.99167
797.401 946.565 23.387 0.455 22.248 0.211 20.618 0.092 19.717 0.068 18.518 0.05 16.993 0.065 16.376 0.051 16.081 0.046 1.139 0.50154 1.63 0.23018 2.1 0.10471 1.199 0.0844 -0.0346 0.58577 0 0.73333
1030.917 1061.925 23.732 0.453 22.528 0.21 20.689 0.092 19.789 0.068 18.566 0.05 16.948 0.065 16.357 0.051 16.072 0.046 1.204 0.49931 1.839 0.22927 2.123 0.10471 1.223 0.0844 -0.12008 0.58315 0 0.16667
1151.76 1063.746 23.733 0.451 22.335 0.21 20.627 0.091 19.725 0.068 18.507 0.05 17.053 0.065 16.339 0.051 16.108 0.046 1.398 0.49749 1.708 0.22887 2.12 0.10383 1.218 0.0844 0.16824 0.58151 0 0.025
1081.366 1137.161 22.902 0.449 22.41 0.209 20.711 0.091 19.593 0.068 18.484 0.05 17.022 0.065 16.338 0.051 16.051 0.046 0.492 0.49526 1.699 0.22795 2.227 0.10383 1.109 0.0844 -0.73128 0.5789 0 0.99167
1062.536 1108.732 23.081 0.446 22.318 0.208 20.528 0.091 19.545 0.068 18.519 0.049 17.025 0.065 16.213 0.051 16.027 0.046 0.763 0.49212 1.79 0.22704 2.009 0.10335 1.026 0.08382 -0.5258 0.5755 0 0.96667
1035.787 862.848 23.934 0.444 22.571 0.207 20.575 0.091 19.658 0.067 18.406 0.049 17.036 0.064 16.312 0.051 15.919 0.046 1.363 0.48988 1.996 0.22612 2.169 0.10335 1.252 0.08301 -0.07412 0.57288 0 0.75
963.565 917.219 23.363 0.442 22.277 0.207 20.714 0.09 19.66 0.067 18.486 0.049 17.019 0.064 16.273 0.051 16.031 0.046 1.086 0.48807 1.563 0.22572 2.228 0.10247 1.174 0.08301 -0.03936 0.57125 0 0.725
1056.589 1063.314 22.739 0.44 22.68 0.206 20.706 0.09 19.558 0.067 18.542 0.049 16.973 0.064 16.298 0.051 15.945 0.046 0.059 0.48584 1.974 0.2248 2.164 0.10247 1.016 0.08301 -1.36228 0.56863 0 0.925
1446.087 827.312 23.607 0.438 22.17 0.205 20.532 0.09 19.646 0.067 18.505 0.049 16.978 0.064 16.304 0.051 16.018 0.046 1.437 0.4836 1.638 0.22389 2.027 0.10247 1.141 0.08301 0.25764 0.56601 0 0
1330.35 686.279 23.197 0.436 21.868 0.204 20.698 0.09 19.661 0.067 18.383 0.049 17.056 0.064 16.333 0.05 16.084 0.046 1.329 0.48136 1.17 0.22297 2.315 0.10247 1.278 0.08301 0.4866 0.56339 0 0.43333
1120.069 1069.324 23.407 0.434 22.212 0.204 20.57 0.089 19.606 0.067 18.49 0.049 16.933 0.064 16.321 0.05 16.033 0.046 1.195 0.47955 1.642 0.22257 2.08 0.1016 1.116 0.08301 0.01276 0.56176 0 0.40833
879.318 888.747 23.258 0.433 22.381 0.203 20.5 0.089 19.662 0.067 18.407 0.049 16.865 0.064 16.291 0.05 16.063 0.045 0.877 0.47822 1.881 0.22165 2.093 0.1016 1.255 0.08301 -0.47732 0.55992 0 0.625
757.574 713.973 23.978 0.431 22.2 0.202 20.643 0.089 19.532 0.066 18.439 0.049 16.907 0.063 16.321 0.05 15.933 0.045 1.778 0.47599 1.557 0.22074 2.204 0.1016 1.093 0.0822 0.65696 0.5573 0 0.98333
914.228 913.456 23.381 0.429 22.384 0.201 20.501 0.089 19.573 0.066 18.375 0.049 16.89 0.063 16.313 0.05 16.091 0.045 0.997 0.47375 1.883 0.21982 2.126 0.1016 1.198 0.0822 -0.35876 0.55468 0 0.98333
1102.457 975.299 23.093 0.427 22.619 0.201 20.551 0.089 19.521 0.066 18.405 0.049 16.948 0.063 16.303 0.05 15.996 0.045 0.474 0.47194 2.068 0.21982 2.146 0.1016 1.116 0.0822 -1.01496 0.55313 0 0.99167
876.975 1124.578 23.023 0.425 22.377 0.2 20.525 0.088 19.557 0.066 18.488 0.048 17.03 0.063 16.292 0.05 16.02 0.045 0.646 0.46971 1.852 0.2185 2.037 0.10024 1.069 0.08161 -0.68744 0.55043 0 0.99167
1111.522 989.3 24.052 0.423 22.36 0.199 20.473 0.088 19.529 0.066 18.359 0.048 17.036 0.063 16.273 0.05 15.955 0.045 1.692 0.46747 1.887 0.21759 2.114 0.10024 1.17 0.08161 0.33336 0.54781 0 0.2
901.427 929.314 22.839 0.421 22.359 0.198 20.512 0.088 19.529 0.066 18.358 0.048 16.998 0.063 16.262 0.05 16.044 0.045 0.48 0.46524 1.847 0.21667 2.154 0.10024 1.171 0.08161 -0.84984 0.54519 0 0.99167
1078.746 1077.266 23.44 0.419 22.291 0.198 20.548 0.088 19.475 0.066 18.38 0.048 16.871 0.063 16.211 0.05 15.956 0.045 1.149 0.46343 1.743 0.21667 2.168 0.10024 1.095 0.08161 -0.10596 0.54365 0 0.45833
1021.6 1209.483 22.247 0.418 22.135 0.197 20.455 0.087 19.544 0.065 18.341 0.048 16.947 0.062 16.224 0.049 16.024 0.045 0.112 0.4621 1.68 0.21536 2.114 0.09936 1.203 0.0808 -1.0976 0.54172 0 0.99167
1136.151 1129.676 23.527 0.416 22.225 0.196 20.618 0.087 19.565 0.065 18.399 0.048 17.011 0.062 16.214 0.049 15.959 0.045 1.302 0.45986 1.607 0.21444 2.219 0.09936 1.166 0.0808 0.14496 0.5391 0 0.01667
863.253 1185.073 23.244 0.414 22.235 0.196 20.515 0.087 19.543 0.065 18.397 0.048 16.868 0.062 16.195 0.049 15.963 0.045 1.009 0.45805 1.72 0.21444 2.118 0.09936 1.146 0.0808 -0.2294 0.53756 0 0.04167
987.644 801.019 23.004 0.412 22.031 0.195 20.593 0.087 19.475 0.065 18.354 0.048 16.925 0.062 16.311 0.049 16.061 0.045 0.973 0.45582 1.438 0.21353 2.239 0.09936 1.121 0.0808 -0.06236 0.53494 0 0.18333
1672.981 1477.299 22.929 0.41 21.886 0.194 20.527 0.087 19.44 0.065 18.32 0.048 16.78 0.062 16.295 0.049 15.991 0.044 1.043 0.45358 1.359 0.21261 2.207 0.09936 1.12 0.0808 0.06452 0.53232 0 0.2
1190.208 447.818 23.521 0.409 22.114 0.194 20.391 0.086 19.595 0.065 18.302 0.048 16.812 0.062 16.212 0.049 15.882 0.044 1.407 0.45268 1.723 0.21221 2.089 0.09849 1.293 0.0808 0.16644 0.53147 0 0.025
1024.888 1186.377 23.238 0.407 22.306 0.193 20.533 0.086 19.43 0.065 18.356 0.048 16.842 0.061 16.265 0.049 15.88 0.044 0.932 0.45044 1.773 0.21129 2.177 0.09849 1.074 0.0808 -0.34456 0.52885 0 0.95833
911.095 1011.11 23.937 0.405 22.17 0.192 20.471 0.086 19.464 0.064 18.261 0.047 16.761 0.061 16.224 0.049 15.896 0.044 1.767 0.44821 1.699 0.21038 2.21 0.09801 1.203 0.0794 0.54372 0.52623 0 0.99167
1022.326 1067.459 22.724 0.403 22.273 0.191 20.547 0.086 19.461 0.064 18.377 0.047 16.876 0.061 16.127 0.049 15.953 0.044 0.451 0.44597 1.726 0.20947 2.17 0.09801 1.084 0.0794 -0.79172 0.52361 0 0.99167
899.935 810.525 22.845 0.401 22.027 0.191 20.25 0.085 19.423 0.064 18.266 0.047 16.843 0.061 16.258 0.049 15.925 0.044 0.818 0.44416 1.777 0.20906 1.984 0.09713 1.157 0.0794 -0.46144 0.52199 0 0.99167
1018.742 716.322 23.441 0.4 22.054 0.19 20.371 0.085 19.459 0.064 18.301 0.047 16.863 0.061 16.263 0.049 15.91 0.044 1.387 0.44283 1.683 0.20815 2.07 0.09713 1.158 0.0794 0.17524 0.52014 0 0.00833
1103.138 1045.583 23.814 0.398 22.03 0.189 20.395 0.085 19.489 0.064 18.283 0.047 16.769 0.061 16.111 0.048 15.93 0.044 1.784 0.4406 1.635 0.20723 2.112 0.09713 1.206 0.0794 0.6068 0.51752 0 0.99167
903.001 1203.89 23.611 0.396 22.394 0.189 20.448 0.085 19.409 0.064 18.331 0.047 16.785 0.061 16.095 0.048 15.85 0.044 1.217 0.43879 1.946 0.20723 2.117 0.09713 1.078 0.0794 -0.18412 0.51598 0 0.575
961.497 869.9 23.248 0.394 22.223 0.188 20.507 0.084 19.534 0.063 18.301 0.047 16.748 0.06 16.2 0.048 15.878 0.044 1.025 0.43655 1.716 0.20591 2.206 0.09625 1.233 0.0786 -0.21052 0.51328 0 0.18333
1153.007 976.558 22.889 0.393 22.252 0.187 20.329 0.084 19.418 0.063 18.191 0.047 16.851 0.06 16.214 0.048 15.911 0.044 0.637 0.43522 1.923 0.205 2.138 0.09625 1.227 0.0786 -0.74756 0.51143 0 0.99167
1072.43 1243.208 23.044 0.391 21.996 0.186 20.565 0.084 19.418 0.063 18.228 0.047 16.841 0.06 16.112 0.048 15.846 0.044 1.048 0.43299 1.431 0.20409 2.337 0.09625 1.19 0.0786 0.01768 0.50881 0 0.21667
1038.491 1380.635 23.203 0.389 22.306 0.186 20.439 0.084 19.468 0.063 18.233 0.047 16.76 0.06 16.131 0.048 15.882 0.043 0.897 0.43118 1.867 0.20409 2.206 0.09625 1.235 0.0786 -0.44724 0.50727 0 0.625
1076.777 942.116 23.246 0.387 22.196 0.185 20.35 0.084 19.389 0.063 18.193 0.046 16.807 0.06 16.164 0.048 15.78 0.043 1.05 0.42895 1.846 0.20318 2.157 0.09577 1.196 0.07801 -0.27912 0.50466 0 0.61667
848.539 970.495 23.231 0.386 22.163 0.184 20.319 0.083 19.36 0.063 18.245 0.046 16.857 0.06 16.132 0.048 15.791 0.043 1.068 0.42761 1.844 0.20185 2.074 0.09489 1.115 0.07801 -0.25968 0.50272 0 0.53333
951.846 709.123 22.532 0.384 21.983 0.184 20.39 0.083 19.366 0.063 18.251 0.046 16.792 0.06 16.171 0.048 15.84 0.043 0.549 0.42581 1.593 0.20185 2.139 0.09489 1.115 0.07801 -0.59796 0.50119 0 0.99167
924.124 757.866 22.549 0.382 22.189 0.183 20.44 0.083 19.296 0.062 18.215 0.046 16.8 0.059 16.137 0.048 15.806 0.043 0.36 0.42357 1.749 0.20094 2.225 0.09489 1.081 0.0772 -0.89928 0.49857 0 0.99167
220.741 808.478 23.071 0.38 21.713 0.182 20.27 0.083 19.396 0.062 18.175 0.046 16.753 0.059 16.141 0.047 15.926 0.043 1.358 0.42134 1.443 0.20003 2.095 0.09489 1.221 0.0772 0.31904 0.49595 0 0.15
1529.262 1320.828 22.656 0.378 21.744 0.182 20.33 0.082 19.327 0.062 18.229 0.046 16.789 0.059 16.092 0.047 15.844 0.043 0.912 0.41953 1.414 0.19962 2.101 0.09402 1.098 0.0772 -0.10608 0.49433 0 0.1
1048.135 920.465 22.765 0.377 22.059 0.181 20.375 0.082 19.372 0.062 18.271 0.046 16.782 0.059 16.108 0.047 15.814 0.043 0.706 0.4182 1.684 0.19871 2.104 0.09402 1.101 0.0772 -0.50648 0.49248 0 0.99167
1442.636 546.193 23.203 0.375 22.074 0.18 20.185 0.082 19.269 0.062 18.157 0.046 16.686 0.059 16.115 0.047 15.86 0.043 1.129 0.41596 1.889 0.1978 2.028 0.09402 1.112 0.0772 -0.23108 0.48986 0 0.41667
1172.648 899.814 22.648 0.373 21.903 0.179 20.362 0.082 19.324 0.062 18.235 0.046 16.718 0.059 16.112 0.047 15.826 0.043 0.745 0.41373 1.541 0.19689 2.127 0.09402 1.089 0.0772 -0.36452 0.48724 0 0.625
1075.072 935.471 22.944 0.372 21.824 0.179 20.294 0.082 19.303 0.062 18.148 0.046 16.689 0.059 16.088 0.047 15.815 0.043 1.12 0.41283 1.53 0.19689 2.146 0.09402 1.155 0.0772 0.0184 0.48648 0 0.56667
1210.914 1314.703 22.765 0.37 22.156 0.178 20.318 0.081 19.347 0.061 18.112 0.046 16.674 0.058 16.115 0.047 15.771 0.042 0.609 0.41059 1.838 0.19556 2.206 0.09315 1.235 0.0764 -0.71436 0.48377 0 0.94167
821.998 1022.755 22.861 0.368 21.941 0.177 20.396 0.081 19.307 0.061 18.088 0.045 16.798 0.058 16.07 0.047 15.726 0.042 0.92 0.40835 1.545 0.19465 2.308 0.09266 1.219 0.0758 -0.1924 0.48115 0 0.05
1018.849 805.593 22.913 0.366 21.989 0.177 20.333 0.081 19.252 0.061 18.173 0.045 16.665 0.058 16.057 0.047 15.729 0.042 0.924 0.40655 1.656 0.19465 2.16 0.09266 1.079 0.0758 -0.26832 0.47963 0 0.00833
1122.484 1221.187 23.185 0.365 22.115 0.176 20.117 0.081 19.271 0.061 18.107 0.045 16.773 0.058 16.053 0.047 15.774 0.042 1.07 0.40522 1.998 0.19374 2.01 0.09266 1.164 0.0758 -0.36856 0.47777 0 0.98333
877.597 1081.529 22.913 0.363 21.677 0.175 20.086 0.08 19.15 0.061 18.133 0.045 16.615 0.058 16.1 0.046 15.867 0.042 1.236 0.40298 1.591 0.19242 1.953 0.09179 1.017 0.0758 0.09048 0.47507 0 0.28333
1152.469 955.957 22.845 0.361 21.946 0.175 20.261 0.08 19.224 0.061 18.11 0.045 16.674 0.058 16.094 0.046 15.727 0.042 0.899 0.40118 1.685 0.19242 2.151 0.09179 1.114 0.0758 -0.3142 0.47354 0 0.025
626.158 1280.538 23.007 0.359 21.775 0.174 20.208 0.08 19.183 0.061 18.057 0.045 16.752 0.057 16.036 0.046 15.818 0.042 1.232 0.39894 1.567 0.19151 2.151 0.09179 1.126 0.0758 0.10376 0.47092 0 0.225
800.165 882.819 22.589 0.358 22.046 0.173 20.064 0.08 19.181 0.06 18.172 0.045 16.686 0.057 16.13 0.046 15.774 0.042 0.543 0.39761 1.982 0.1906 1.892 0.09179 1.009 0.075 -0.88404 0.46907 0 0.99167
819.257 957.068 23.503 0.356 21.747 0.173 20.21 0.08 19.203 0.06 18.081 0.045 16.692 0.057 16.044 0.046 15.787 0.042 1.756 0.39581 1.537 0.1906 2.129 0.09179 1.122 0.075 0.64936 0.46754 0 0.88333
979.851 1020.2 23.034 0.354 22.261 0.172 20.179 0.079 19.23 0.06 18.074 0.045 16.658 0.057 16.044 0.046 15.746 0.042 0.773 0.39357 2.082 0.18927 2.105 0.09092 1.156 0.075 -0.72604 0.46484 0 0.99167
931.5 424.511 23.439 0.353 21.784 0.171 20.254 0.079 19.226 0.06 18.064 0.045 16.754 0.057 15.988 0.046 15.738 0.042 1.655 0.39224 1.53 0.18837 2.19 0.09092 1.162 0.075 0.5534 0.46298 0 0.84167
830.77 601.641 22.781 0.351 21.723 0.17 20.318 0.079 19.298 0.06 18.05 0.045 16.635 0.057 16.046 0.046 15.723 0.041 1.058 0.39 1.405 0.18746 2.268 0.09092 1.248 0.075 0.0464 0.46036 0 0.18333
1224.449 971.294 22.255 0.349 21.981 0.17 20.172 0.079 19.241 0.06 18.129 0.044 16.611 0.057 15.956 0.046 15.732 0.041 0.274 0.3882 1.809 0.18746 2.043 0.09043 1.112 0.0744 -1.02848 0.45884 0 0.99167
1060.897 904.598 22.609 0.347 21.927 0.169 20.186 0.078 19.122 0.06 18.105 0.044 16.693 0.056 15.996 0.046 15.721 0.041 0.682 0.38597 1.741 0.18613 2.081 0.08955 1.017 0.0744 -0.57152 0.45613 0 0.99167
1142.09 962.539 22.45 0.346 22.001 0.168 20.159 0.078 19.213 0.059 17.996 0.044 16.714 0.056 15.936 0.045 15.691 0.041 0.449 0.38463 1.842 0.18522 2.163 0.08955 1.217 0.0736 -0.87724 0.45428 0 0.99167
1151.807 730.738 22.238 0.344 21.569 0.168 20.16 0.078 19.161 0.059 18.011 0.044 16.658 0.056 15.96 0.045 15.828 0.041 0.669 0.38283 1.409 0.18522 2.149 0.08955 1.15 0.0736 -0.34548 0.45276 0 0.81667
1030.825 1004.369 22.932 0.343 21.953 0.167 20.101 0.078 19.101 0.059 18.04 0.044 16.61 0.056 16.054 0.045 15.695 0.041 0.979 0.38149 1.852 0.18432 2.061 0.08955 1.061 0.0736 -0.35444 0.4509 0 0.975
829.376 1053.302 23.475 0.341 21.876 0.166 20.073 0.078 19.23 0.059 18.049 0.044 16.578 0.056 16.035 0.045 15.643 0.041 1.599 0.37926 1.803 0.18341 2.024 0.08955 1.181 0.0736 0.30084 0.44828 0 0.04167
928.903 704.045 22.952 0.339 21.819 0.166 20.102 0.077 19.123 0.059 18.086 0.044 16.568 0.056 15.97 0.045 15.663 0.041 1.133 0.37746 1.717 0.18299 2.016 0.08868 1.037 0.0736 -0.10324 0.44667 0 0.05833
1193.424 874.492 22.767 0.338 21.448 0.165 20.091 0.077 19.211 0.059 18.042 0.044 16.591 0.056 15.946 0.045 15.686 0.041 1.319 0.37612 1.357 0.18208 2.049 0.08868 1.169 0.0736 0.34196 0.44481 0 0.4
1184.023 838.434 22.362 0.336 21.991 0.164 20.039 0.077 19.254 0.059 17.969 0.044 16.601 0.055 15.947 0.045 15.736 0.041 0.371 0.37389 1.952 0.18118 2.07 0.08868 1.285 0.0736 -1.03444 0.4422 0 0.99167
1216.474 1089.498 22.464 0.335 21.395 0.164 20.038 0.077 19.093 0.058 17.977 0.044 16.698 0.055 15.904 0.045 15.61 0.041 1.069 0.37299 1.357 0.18118 2.061 0.08868 1.116 0.0728 0.09196 0.44144 0 0.23333
947.777 1090.527 22.625 0.333 21.639 0.163 20.162 0.076 19.109 0.058 17.979 0.044 16.557 0.055 15.933 0.045 15.533 0.041 0.986 0.37075 1.477 0.17985 2.183 0.08782 1.13 0.0728 -0.07744 0.43873 0 0.21667
872.684 1171.68 22.796 0.332 21.546 0.163 20.119 0.076 19.008 0.058 17.984 0.043 16.517 0.055 15.971 0.045 15.659 0.041 1.25 0.36986 1.427 0.17985 2.135 0.08732 1.024 0.0722 0.22256 0.43797 0 0.13333
