x y U eU B eB V eV R eR I eI J eJ H eH K eK U_B eU_B B_V eB_V V_I eV_I R_I eR_I Q_UB eQ_UB field probability
791.12 1260.826 23.255 0.578 22.816 0.255 20.999 0.105 20.201 0.076 18.891 0.055 17.419 0.074 16.682 0.057 16.4 0.051 0.439 0.63175 1.817 0.27577 2.108 0.11853 1.31 0.09381 -0.86924 0.7295 0 0.99167
930.574 1164.367 23.862 0.564 22.834 0.25 20.929 0.103 19.987 0.076 18.926 0.054 17.286 0.073 16.589 0.056 16.315 0.051 1.028 0.61692 1.905 0.27039 2.003 0.1163 1.061 0.09323 -0.3436 0.71309 0 0.825
1026.311 962.604 24.304 0.553 22.912 0.247 20.906 0.102 20.175 0.075 18.862 0.054 17.373 0.072 16.54 0.056 16.356 0.05 1.392 0.60566 2.006 0.26723 2.044 0.11541 1.313 0.09242 -0.05232 0.70121 0 0.79167
1187.356 824.482 24.309 0.55 22.921 0.246 20.994 0.102 19.983 0.075 18.813 0.054 17.245 0.072 16.67 0.056 16.339 0.05 1.388 0.60251 1.927 0.26631 2.181 0.11541 1.17 0.09242 0.00056 0.6978 0 0.64167
725.756 744.068 23.612 0.547 22.462 0.245 20.98 0.102 19.937 0.075 18.757 0.054 17.299 0.072 16.595 0.056 16.38 0.05 1.15 0.59936 1.482 0.26538 2.223 0.11541 1.18 0.09242 0.08296 0.69439 0 0.08333
670.553 1403.07 24.135 0.542 22.931 0.243 20.847 0.101 20.13 0.074 18.821 0.054 17.284 0.071 16.543 0.056 16.343 0.05 1.204 0.59398 2.084 0.26315 2.026 0.11453 1.309 0.09161 -0.29648 0.68829 0 0
881.053 958.535 23.809 0.537 22.752 0.241 20.974 0.101 19.924 0.074 18.736 0.053 17.373 0.071 16.636 0.055 16.303 0.05 1.057 0.5886 1.778 0.26131 2.238 0.11406 1.188 0.09102 -0.22316 0.68226 0 0
816.163 1056.176 24.069 0.534 22.662 0.24 20.995 0.101 19.954 0.074 18.78 0.053 17.06 0.071 16.497 0.055 16.3 0.05 1.407 0.58545 1.667 0.26039 2.215 0.11406 1.174 0.09102 0.20676 0.67886 0 0.00833
931.72 1125.639 24.032 0.532 22.434 0.239 20.937 0.1 20.031 0.074 18.715 0.053 17.263 0.071 16.495 0.055 16.261 0.05 1.598 0.58322 1.497 0.25908 2.222 0.11318 1.316 0.09102 0.52016 0.67616 0 0.75833
1056.089 1202.739 25.262 0.529 22.76 0.239 20.762 0.1 19.983 0.073 18.743 0.053 17.113 0.071 16.502 0.055 16.217 0.05 2.502 0.58048 1.998 0.25908 2.019 0.11318 1.24 0.09021 1.06344 0.6738 0 0.43333
810.759 1203.246 24.077 0.527 22.409 0.238 20.844 0.1 19.965 0.073 18.77 0.053 17.275 0.07 16.525 0.055 16.324 0.049 1.668 0.57825 1.565 0.25815 2.074 0.11318 1.195 0.09021 0.5412 0.67118 0 0.98333
1166.33 1332.123 23.863 0.524 22.607 0.237 20.905 0.099 19.954 0.073 18.813 0.053 17.235 0.07 16.577 0.055 16.223 0.049 1.256 0.5751 1.702 0.25685 2.092 0.11229 1.141 0.09021 0.03056 0.6677 0 0.03333
1108.221 1025.735 22.969 0.522 22.885 0.236 20.912 0.099 19.948 0.073 18.809 0.053 17.21 0.07 16.532 0.055 16.204 0.049 0.084 0.57287 1.973 0.25592 2.103 0.11229 1.139 0.09021 -1.33656 0.66508 0 0.925
627.485 1022.793 22.909 0.517 23.173 0.234 20.922 0.099 19.841 0.073 18.689 0.053 17.264 0.07 16.504 0.054 16.235 0.049 -0.264 0.56749 2.251 0.25408 2.233 0.11229 1.152 0.09021 -1.88472 0.65906 0 0.75833
1300.16 1275.187 24 0.515 22.079 0.233 20.822 0.098 19.898 0.072 18.806 0.052 17.153 0.07 16.58 0.054 16.184 0.049 1.921 0.56526 1.257 0.25277 2.016 0.11094 1.092 0.08881 1.01596 0.65636 0 0.99167
977.561 1225.317 23.92 0.51 22.365 0.231 20.89 0.098 19.936 0.072 18.666 0.052 17.309 0.069 16.542 0.054 16.254 0.049 1.555 0.55988 1.475 0.25093 2.224 0.11094 1.27 0.08881 0.493 0.65034 0 0.76667
1162.486 635.867 24.266 0.507 22.733 0.231 20.857 0.098 19.817 0.072 18.656 0.052 17.145 0.069 16.41 0.054 16.118 0.049 1.533 0.55714 1.876 0.25093 2.201 0.11094 1.161 0.08881 0.18228 0.64799 0 0.00833
935.159 876.64 23.16 0.505 23.02 0.23 20.631 0.097 19.752 0.072 18.722 0.052 17.221 0.069 16.519 0.054 16.241 0.049 0.14 0.55491 2.389 0.24962 1.909 0.11006 1.03 0.08881 -1.58008 0.64529 0 0.81667
1510.106 1346.534 23.347 0.502 22.766 0.229 20.855 0.097 19.885 0.072 18.665 0.052 17.229 0.069 16.547 0.054 16.236 0.048 0.581 0.55177 1.911 0.2487 2.19 0.11006 1.22 0.08881 -0.79492 0.64189 0 0.99167
932.872 751.9 23.41 0.5 22.761 0.228 20.672 0.097 19.862 0.071 18.697 0.052 17.153 0.069 16.483 0.054 16.185 0.048 0.649 0.54953 2.089 0.24778 1.975 0.11006 1.165 0.08801 -0.85508 0.63927 0 0.99167
