x y U eU B eB V eV R eR I eI J eJ H eH K eK U_B eU_B B_V eB_V V_I eV_I R_I eR_I Q_UB eQ_UB field probability
1202.416 1307.704 19.817 0.111 18.779 0.065 17.653 0.039 16.871 0.033 16.126 0.028 15.167 0.035 14.517 0.029 14.374 0.028 1.038 0.12863 1.126 0.0758 1.527 0.04801 0.745 0.04328 0.22728 0.16003 0 0.025
1176.28 647.443 19.716 0.107 18.796 0.064 17.526 0.039 16.789 0.033 16.076 0.028 15.113 0.035 14.477 0.029 14.353 0.028 0.92 0.12468 1.27 0.07495 1.45 0.04801 0.713 0.04328 0.0056 0.15606 0 0
748.314 1189.773 19.713 0.104 18.759 0.063 17.483 0.038 16.737 0.032 16.032 0.028 15.096 0.034 14.471 0.028 14.324 0.027 0.954 0.12159 1.276 0.07357 1.451 0.0472 0.705 0.04252 0.03528 0.15266 0 0.01667
1131.163 1044.971 19.447 0.101 18.655 0.061 17.36 0.038 16.7 0.032 15.98 0.028 15.085 0.034 14.411 0.028 14.362 0.027 0.792 0.11799 1.295 0.07187 1.38 0.0472 0.72 0.04252 -0.1404 0.14818 0 0.55
541.155 1403.534 19.625 0.098 18.602 0.06 17.425 0.037 16.675 0.032 15.931 0.027 15.003 0.033 14.391 0.028 14.284 0.027 1.023 0.11491 1.177 0.07049 1.494 0.0458 0.744 0.04187 0.17556 0.14479 0 0.01667
923.582 907.094 19.308 0.095 18.497 0.059 17.271 0.037 16.606 0.031 15.944 0.027 14.917 0.033 14.373 0.028 14.271 0.027 0.811 0.11183 1.226 0.06964 1.327 0.0458 0.662 0.04111 -0.07172 0.14154 0 0.13333
1127.281 1109.845 19.435 0.092 18.559 0.058 17.219 0.036 16.56 0.031 15.848 0.027 14.926 0.033 14.387 0.027 14.226 0.027 0.876 0.10876 1.34 0.06826 1.371 0.045 0.712 0.04111 -0.0888 0.13816 0 0.10833
1026.88 1134.944 19.183 0.089 18.483 0.056 17.172 0.036 16.45 0.03 15.833 0.026 14.909 0.032 14.31 0.027 14.246 0.026 0.7 0.10515 1.311 0.06657 1.339 0.04441 0.617 0.0397 -0.24392 0.13368 0 0.15833
862.275 1089.182 19.183 0.086 18.389 0.055 17.129 0.035 16.471 0.03 15.789 0.026 14.876 0.032 14.26 0.027 14.198 0.026 0.794 0.10208 1.26 0.06519 1.34 0.0436 0.682 0.0397 -0.1132 0.13031 0 0.19167
1156.559 989.298 19.13 0.083 18.264 0.054 17.08 0.035 16.366 0.03 15.683 0.026 14.822 0.032 14.299 0.027 14.158 0.026 0.866 0.09902 1.184 0.06435 1.397 0.0436 0.683 0.0397 0.01352 0.12709 0 0.14167
