x y U eU B eB V eV R eR I eI J eJ H eH K eK U_B eU_B B_V eB_V V_I eV_I R_I eR_I Q_UB eQ_UB field probability
1085.026 1004.811 18.899 0.08 18.169 0.053 16.935 0.034 16.297 0.029 15.635 0.026 14.797 0.031 14.241 0.027 14.101 0.026 0.73 0.09596 1.234 0.06297 1.3 0.0428 0.662 0.03895 -0.15848 0.12373 0 0.40833
1134.57 1124.819 18.73 0.078 18.1 0.052 16.962 0.034 16.224 0.029 15.57 0.025 14.806 0.031 14.213 0.026 14.067 0.026 0.63 0.09374 1.138 0.06213 1.392 0.0422 0.654 0.03829 -0.18936 0.12117 0 0.26667
1005.311 974.851 18.835 0.075 18.034 0.051 16.792 0.033 16.207 0.029 15.583 0.025 14.691 0.031 14.17 0.026 14.046 0.025 0.801 0.0907 1.242 0.06075 1.209 0.0414 0.624 0.03829 -0.09324 0.11783 0 0.4
904.969 1197.875 18.635 0.073 17.948 0.05 16.863 0.033 16.15 0.028 15.518 0.025 14.666 0.03 14.126 0.026 13.989 0.025 0.687 0.08848 1.085 0.05991 1.345 0.0414 0.632 0.03754 -0.0942 0.11528 0 0.20833
1108.622 1007.497 18.492 0.071 17.938 0.049 16.725 0.032 16.105 0.028 15.489 0.025 14.663 0.03 14.092 0.026 14.005 0.025 0.554 0.08627 1.213 0.05852 1.236 0.04061 0.616 0.03754 -0.31936 0.11258 0 0.04167
1275.425 1001.046 18.536 0.068 17.76 0.048 16.71 0.032 16.046 0.028 15.402 0.024 14.654 0.029 14.04 0.025 13.938 0.025 0.776 0.08323 1.05 0.05769 1.308 0.04 0.644 0.03688 0.02 0.10941 0 0.03333
1132.588 858.245 18.327 0.066 17.702 0.047 16.617 0.031 15.965 0.027 15.403 0.024 14.525 0.029 14.066 0.025 13.951 0.024 0.625 0.08102 1.085 0.0563 1.214 0.0392 0.562 0.03612 -0.1562 0.10672 0 0.24167
950.832 865.481 18.285 0.064 17.614 0.046 16.564 0.031 15.888 0.027 15.335 0.024 14.549 0.029 14.031 0.025 13.868 0.024 0.671 0.07882 1.05 0.05547 1.229 0.0392 0.553 0.03612 -0.085 0.10418 0 0.2
1087.719 1042.447 18.069 0.062 17.545 0.045 16.468 0.03 15.87 0.027 15.29 0.024 14.425 0.028 13.958 0.025 13.865 0.024 0.524 0.07661 1.077 0.05408 1.178 0.03842 0.58 0.03612 -0.25144 0.1015 0 0
1079.039 953.342 18.038 0.06 17.472 0.044 16.428 0.03 15.844 0.026 15.225 0.023 14.418 0.028 13.921 0.024 13.795 0.024 0.566 0.0744 1.044 0.05325 1.203 0.0378 0.619 0.03471 -0.18568 0.09896 0 0.06667
983.86 1253.132 17.952 0.058 17.365 0.043 16.354 0.03 15.735 0.026 15.161 0.023 14.405 0.028 13.873 0.024 13.765 0.024 0.587 0.0722 1.011 0.05243 1.193 0.0378 0.574 0.03471 -0.14092 0.09644 0 0.225
832.967 986.126 17.843 0.056 17.308 0.042 16.308 0.029 15.678 0.026 15.106 0.023 14.327 0.027 13.837 0.024 13.715 0.023 0.535 0.07 1 0.05104 1.202 0.03701 0.572 0.03471 -0.185 0.09376 0 0.15
1053.643 1017.803 17.702 0.055 17.265 0.041 16.195 0.029 15.585 0.025 15.039 0.023 14.335 0.027 13.793 0.024 13.699 0.023 0.437 0.0686 1.07 0.05022 1.156 0.03701 0.546 0.03397 -0.3334 0.09184 0 0.375
1023.132 1010.253 17.548 0.053 17.172 0.04 16.106 0.028 15.57 0.025 14.982 0.022 14.284 0.027 13.812 0.023 13.649 0.023 0.376 0.0664 1.066 0.04883 1.124 0.03561 0.588 0.0333 -0.39152 0.08916 0 0.3
970.952 1010.964 17.522 0.051 17.086 0.039 16.059 0.028 15.466 0.025 14.943 0.022 14.238 0.026 13.729 0.023 13.655 0.023 0.436 0.0642 1.027 0.04801 1.116 0.03561 0.523 0.0333 -0.30344 0.08664 0 0.38333
945.745 1167.522 17.44 0.05 16.982 0.038 15.971 0.027 15.414 0.024 14.853 0.022 14.153 0.026 13.704 0.023 13.587 0.022 0.458 0.0628 1.011 0.04662 1.118 0.03483 0.561 0.03256 -0.26992 0.08456 0 0.10833
1300.633 1206.532 17.288 0.049 16.869 0.038 15.92 0.027 15.348 0.024 14.805 0.022 14.17 0.026 13.639 0.023 13.543 0.022 0.419 0.06201 0.949 0.04662 1.115 0.03483 0.543 0.03256 -0.26428 0.08397 0 0.04167
1005.476 991.158 17.112 0.047 16.848 0.037 15.835 0.027 15.312 0.024 14.712 0.021 14.012 0.025 13.603 0.022 13.5 0.022 0.264 0.05982 1.013 0.0458 1.123 0.03421 0.6 0.03189 -0.46536 0.08147 0 0.825
1092.174 1221.405 17.027 0.046 16.715 0.036 15.772 0.026 15.253 0.023 14.738 0.021 13.994 0.025 13.561 0.022 13.453 0.022 0.312 0.05841 0.943 0.04441 1.034 0.03342 0.515 0.03114 -0.36696 0.07938 0 0.83333
1181.796 1420.555 17.017 0.044 16.654 0.035 15.739 0.026 15.162 0.023 14.631 0.021 13.938 0.024 13.519 0.022 13.402 0.021 0.363 0.05622 0.915 0.0436 1.108 0.03342 0.531 0.03114 -0.2958 0.07688 0 0.30833
1331.924 1018.828 16.978 0.043 16.5 0.035 15.614 0.025 15.14 0.023 14.557 0.021 13.864 0.024 13.469 0.022 13.36 0.021 0.478 0.05544 0.886 0.04301 1.057 0.03265 0.583 0.03114 -0.15992 0.07614 0 0
1042.86 908.156 16.807 0.042 16.421 0.034 15.57 0.025 15.015 0.023 14.545 0.02 13.786 0.024 13.361 0.021 13.319 0.021 0.386 0.05404 0.851 0.0422 1.025 0.03202 0.47 0.03048 -0.22672 0.07422 0 0.03333
998.978 975.897 16.703 0.041 16.422 0.033 15.48 0.025 14.972 0.022 14.439 0.02 13.767 0.023 13.359 0.021 13.274 0.021 0.281 0.05263 0.942 0.0414 1.041 0.03202 0.533 0.02973 -0.39724 0.0723 0 0.86667
752.614 827.407 16.571 0.04 16.26 0.032 15.397 0.024 14.86 0.022 14.366 0.02 13.715 0.023 13.283 0.021 13.191 0.02 0.311 0.05122 0.863 0.04 1.031 0.03124 0.494 0.02973 -0.31036 0.0702 0 0.38333
824.665 1146.282 16.463 0.038 16.203 0.032 15.288 0.024 14.843 0.022 14.282 0.02 13.672 0.023 13.237 0.021 13.154 0.02 0.26 0.04968 0.915 0.04 1.006 0.03124 0.561 0.02973 -0.3988 0.06908 0 0.93333
1101.816 894.534 16.333 0.037 16.099 0.031 15.257 0.023 14.742 0.021 14.208 0.019 13.546 0.022 13.175 0.02 13.133 0.02 0.234 0.04827 0.842 0.0386 1.049 0.02983 0.534 0.02832 -0.37224 0.06698 0 0.99167
1045.644 779.831 16.206 0.036 16.009 0.03 15.099 0.023 14.659 0.021 14.135 0.019 13.526 0.022 13.155 0.02 13.056 0.02 0.197 0.04686 0.91 0.0378 0.964 0.02983 0.524 0.02832 -0.4582 0.06506 0 0.975
1481.827 353.985 16.129 0.035 15.959 0.03 15.083 0.023 14.593 0.021 14.075 0.019 13.478 0.022 13.066 0.02 12.993 0.019 0.17 0.0461 0.876 0.0378 1.008 0.02983 0.518 0.02832 -0.46072 0.06451 0 0.975
731.022 745.521 16.036 0.034 15.851 0.029 15.026 0.022 14.516 0.02 14.031 0.019 13.43 0.021 12.987 0.02 12.938 0.019 0.185 0.04469 0.825 0.0364 0.995 0.02907 0.485 0.02759 -0.409 0.06241 0 0.96667
916.481 1032.963 15.904 0.033 15.697 0.028 14.935 0.022 14.427 0.02 13.933 0.018 13.309 0.021 12.967 0.019 12.857 0.019 0.207 0.04328 0.762 0.03561 1.002 0.02843 0.494 0.02691 -0.34164 0.06049 0 0.94167
1239.17 1059.39 15.843 0.032 15.645 0.028 14.804 0.022 14.361 0.02 13.866 0.018 13.279 0.021 12.878 0.019 12.819 0.019 0.198 0.04252 0.841 0.03561 0.938 0.02843 0.495 0.02691 -0.40752 0.05995 0 0.96667
1359.818 1035.92 15.762 0.032 15.575 0.027 14.747 0.021 14.26 0.02 13.799 0.018 13.229 0.02 12.843 0.019 12.761 0.018 0.187 0.04187 0.828 0.03421 0.948 0.02766 0.461 0.02691 -0.40916 0.05839 0 0.96667
1017.625 816.508 15.729 0.031 15.423 0.026 14.669 0.021 14.192 0.019 13.73 0.018 13.145 0.02 12.812 0.019 12.699 0.018 0.306 0.04046 0.754 0.03342 0.939 0.02766 0.462 0.02617 -0.23688 0.05648 0 0.10833
1162.508 1202.086 15.562 0.03 15.353 0.026 14.537 0.021 14.105 0.019 13.656 0.018 13.086 0.02 12.748 0.018 12.635 0.018 0.209 0.0397 0.816 0.03342 0.881 0.02766 0.449 0.02617 -0.37852 0.05593 0 0.49167
1362.637 993.788 15.448 0.029 15.235 0.025 14.478 0.02 14.038 0.019 13.582 0.017 13.018 0.019 12.675 0.018 12.611 0.018 0.213 0.03829 0.757 0.03202 0.896 0.02625 0.456 0.0255 -0.33204 0.05383 0 0.375
708.931 1377.531 15.329 0.029 15.075 0.025 14.421 0.02 13.97 0.019 13.498 0.017 12.941 0.019 12.656 0.018 12.553 0.018 0.254 0.03829 0.654 0.03202 0.923 0.02625 0.472 0.0255 -0.21688 0.05383 0 0.28333
794.311 854.79 15.264 0.028 15.025 0.024 14.281 0.02 13.893 0.018 13.466 0.017 12.875 0.019 12.558 0.018 12.455 0.017 0.239 0.03688 0.744 0.03124 0.815 0.02625 0.427 0.02476 -0.29668 0.05192 0 0.44167
858.096 1175.151 15.141 0.027 14.922 0.024 14.202 0.019 13.802 0.018 13.36 0.017 12.818 0.019 12.496 0.017 12.448 0.017 0.219 0.03612 0.72 0.03061 0.842 0.0255 0.442 0.02476 -0.2994 0.05119 0 0.51667
1121.701 1092.986 14.987 0.026 14.768 0.023 14.099 0.019 13.698 0.018 13.278 0.017 12.762 0.018 12.494 0.017 12.39 0.017 0.219 0.03471 0.669 0.02983 0.821 0.0255 0.42 0.02476 -0.26268 0.04928 0 0.74167
1182.183 888.456 14.931 0.026 14.666 0.023 14.007 0.019 13.613 0.017 13.196 0.016 12.692 0.018 12.393 0.017 12.309 0.017 0.265 0.03471 0.659 0.02983 0.811 0.02484 0.417 0.02335 -0.20948 0.04928 0 0.89167
809.42 872.446 14.793 0.025 14.608 0.022 13.924 0.018 13.554 0.017 13.102 0.016 12.606 0.018 12.338 0.017 12.278 0.017 0.185 0.0333 0.684 0.02843 0.822 0.02408 0.452 0.02335 -0.30748 0.04717 0 0.61667
1114.999 749.306 14.691 0.024 14.471 0.022 13.852 0.018 13.433 0.017 13.025 0.016 12.542 0.018 12.304 0.017 12.194 0.016 0.22 0.03256 0.619 0.02843 0.827 0.02408 0.408 0.02335 -0.22568 0.04665 0 0.90833
951.215 1005.762 14.549 0.024 14.329 0.021 13.735 0.018 13.361 0.017 12.973 0.016 12.495 0.017 12.236 0.016 12.126 0.016 0.22 0.03189 0.594 0.02766 0.762 0.02408 0.388 0.02335 -0.20768 0.04526 0 0.91667
923.585 1215.008 14.461 0.023 14.224 0.021 13.625 0.018 13.303 0.017 12.908 0.016 12.42 0.017 12.171 0.016 12.115 0.016 0.237 0.03114 0.599 0.02766 0.717 0.02408 0.395 0.02335 -0.19428 0.04474 0 0.9
1436.628 1217.073 14.36 0.023 14.089 0.02 13.493 0.017 13.194 0.016 12.778 0.015 12.354 0.017 12.143 0.016 12.024 0.016 0.271 0.03048 0.596 0.02625 0.715 0.02267 0.416 0.02193 -0.15812 0.04315 0 0.49167
1484.655 787.232 14.228 0.022 14.001 0.02 13.415 0.017 13.076 0.016 12.726 0.015 12.292 0.017 12.062 0.016 11.983 0.016 0.227 0.02973 0.586 0.02625 0.689 0.02267 0.35 0.02193 -0.19492 0.04263 0 0.50833
1066.753 1067.953 14.139 0.022 13.86 0.019 13.261 0.017 12.987 0.016 12.636 0.015 12.233 0.016 12.015 0.016 11.914 0.015 0.279 0.02907 0.599 0.0255 0.625 0.02267 0.351 0.02193 -0.15228 0.04125 0 0.46667
488.996 772.921 14.041 0.021 13.699 0.019 13.178 0.016 12.892 0.016 12.572 0.015 12.123 0.016 11.954 0.015 11.854 0.015 0.342 0.02832 0.521 0.02484 0.606 0.02193 0.32 0.02193 -0.03312 0.04052 0 0.41667
973.037 1227.871 13.881 0.021 13.598 0.018 13.083 0.016 12.813 0.015 12.459 0.015 12.07 0.016 11.876 0.015 11.768 0.015 0.283 0.02766 0.515 0.02408 0.624 0.02193 0.354 0.02121 -0.0878 0.03914 0 0.475
1053.518 1191.141 13.747 0.02 13.47 0.018 12.963 0.016 12.687 0.015 12.39 0.014 11.965 0.016 11.796 0.015 11.696 0.015 0.277 0.02691 0.507 0.02408 0.573 0.02126 0.297 0.02052 -0.08804 0.03862 0 0.56667
1120.796 991.851 13.66 0.02 13.373 0.017 12.858 0.016 12.549 0.015 12.277 0.014 11.879 0.015 11.706 0.015 11.615 0.015 0.287 0.02625 0.515 0.02335 0.581 0.02126 0.272 0.02052 -0.0838 0.03725 0 0.58333
978.325 938.853 13.534 0.019 13.207 0.017 12.717 0.015 12.449 0.015 12.16 0.014 11.782 0.015 11.619 0.015 11.518 0.014 0.327 0.0255 0.49 0.02267 0.557 0.02052 0.289 0.02052 -0.0258 0.03651 0 0.975
1263.259 967.547 13.372 0.019 13.04 0.017 12.606 0.015 12.35 0.014 12.046 0.014 11.683 0.015 11.549 0.014 11.426 0.014 0.332 0.0255 0.434 0.02267 0.56 0.02052 0.304 0.0198 0.01952 0.03651 0 0.98333
1480.161 874.523 13.217 0.018 12.906 0.016 12.461 0.015 12.217 0.014 11.926 0.014 11.542 0.014 11.4 0.014 11.346 0.014 0.311 0.02408 0.445 0.02193 0.535 0.02052 0.291 0.0198 -0.0094 0.03461 0 0.98333
798.588 1004.863 13.056 0.018 12.793 0.016 12.35 0.014 12.077 0.014 11.826 0.013 11.439 0.014 11.262 0.014 11.214 0.014 0.263 0.02408 0.443 0.02126 0.524 0.0191 0.251 0.0191 -0.05596 0.03439 0 0.98333
1056.083 1028.002 12.919 0.017 12.61 0.015 12.166 0.014 11.933 0.014 11.641 0.013 11.304 0.014 11.126 0.013 11.062 0.013 0.309 0.02267 0.444 0.02052 0.525 0.0191 0.292 0.0191 -0.01068 0.0325 0 1
990.68 1015.472 12.745 0.017 12.426 0.015 12.046 0.014 11.767 0.013 11.469 0.013 11.127 0.013 10.981 0.013 10.876 0.013 0.319 0.02267 0.38 0.02052 0.577 0.0191 0.298 0.01838 0.0454 0.0325 0 1
723.467 1039.949 12.57 0.016 12.305 0.015 11.855 0.013 11.602 0.013 11.322 0.013 10.925 0.013 10.777 0.013 10.691 0.012 0.265 0.02193 0.45 0.01985 0.533 0.01838 0.28 0.01838 -0.059 0.03177 0 0.93333
1154.524 950.636 12.446 0.016 12.117 0.014 11.655 0.013 11.408 0.013 11.102 0.012 10.705 0.012 10.52 0.012 10.447 0.012 0.329 0.02126 0.462 0.0191 0.553 0.01769 0.306 0.01769 -0.00364 0.03039 0 0.925
1044.103 780.584 12.28 0.015 11.962 0.014 11.467 0.013 11.189 0.012 10.841 0.012 10.427 0.012 10.243 0.012 10.145 0.011 0.318 0.02052 0.495 0.0191 0.626 0.01769 0.348 0.01697 -0.0384 0.02987 0 0.925
1325.58 695.483 13.789 0.02 12.659 0.016 11.242 0.012 10.452 0.011 9.779 0.011 8.757 0.01 8.06 0.009 7.943 0.009 1.13 0.02561 1.417 0.02 1.463 0.01628 0.673 0.01556 0.10976 0.0351 0 0.95833
1064.026 945.283 13.833 0.02 12.896 0.016 11.612 0.013 10.912 0.012 10.221 0.011 9.303 0.01 8.693 0.01 8.546 0.01 0.937 0.02561 1.284 0.02062 1.391 0.01703 0.691 0.01628 0.01252 0.03528 0 0.95
1106.97 887.332 13.533 0.019 12.582 0.015 11.273 0.012 10.558 0.012 9.872 0.011 8.942 0.01 8.353 0.009 8.189 0.009 0.951 0.02421 1.309 0.01921 1.401 0.01628 0.686 0.01628 0.00852 0.03319 0 0.95
1761.879 1611.445 21.417 0 20.087 0 18.631 0 17.681 0 16.825 0 15.682 0 14.904 0 14.746 0 1.33 0 1.456 0 1.806 0 0.856 0 0.28168 0 1 0.025
1318.723 486.046 21.016 0 20.168 0 18.907 0 18.065 0 17.141 0 15.818 0 15.36 0 15.069 0 0.848 0 1.261 0 1.766 0 0.924 0 -0.05992 0 1 0.00833
526.888 1698.966 23.931 0 22.696 0 20.949 0 19.784 0 18.504 0 16.66 0 16.023 0 15.618 0 1.235 0 1.747 0 2.445 0 1.28 0 -0.02284 0 1 0.1
1683.492 383.38 20.971 0 19.771 0 18.37 0 17.473 0 16.707 0 15.618 0 14.856 0 14.705 0 1.2 0 1.401 0 1.663 0 0.766 0 0.19128 0 1 0.01667
1124.24 861.752 21.786 0 21.019 0 19.601 0 18.708 0 17.799 0 16.53 0 15.931 0 15.703 0 0.767 0 1.418 0 1.802 0 0.909 0 -0.25396 0 1 0
507.451 494.232 23.328 0 22.23 0 20.56 0 19.536 0 18.522 0 17.089 0 16.421 0 16.161 0 1.098 0 1.67 0 2.038 0 1.014 0 -0.1044 0 1 0
318.041 172.417 18.361 0 17.624 0 16.589 0 15.93 0 15.244 0 14.269 0 13.885 0 13.685 0 0.737 0 1.035 0 1.345 0 0.686 0 -0.0082 0 1 0.04167
869.581 1084.948 19.801 0 18.977 0 17.961 0 17.318 0 16.612 0 15.585 0 15.223 0 14.998 0 0.824 0 1.016 0 1.349 0 0.706 0 0.09248 0 1 0.05
1659.072 1405.619 16.644 0 16.369 0 15.63 0 15.12 0 14.571 0 13.819 0 13.554 0 13.391 0 0.275 0 0.739 0 1.059 0 0.549 0 -0.25708 0 1 0.23333
894.244 52.898 20.862 0 20.099 0 18.709 0 17.761 0 16.73 0 15.28 0 14.775 0 14.459 0 0.763 0 1.39 0 1.979 0 1.031 0 -0.2378 0 1 0.075
230.817 1894.42 23.398 0 22.301 0 20.759 0 19.76 0 18.68 0 17.14 0 16.557 0 16.238 0 1.097 0 1.542 0 2.079 0 1.08 0 -0.01324 0 1 0.025
347.926 933.308 16.578 0 16.132 0 15.4 0 14.939 0 14.464 0 13.805 0 13.535 0 13.407 0 0.446 0 0.732 0 0.936 0 0.475 0 -0.08104 0 1 0.01667
1570.431 1839.55 24.092 0 22.963 0 20.828 0 19.388 0 17.816 0 15.604 0 14.835 0 14.357 0 1.129 0 2.135 0 3.012 0 1.572 0 -0.4082 0 1 0
1050.506 52.009 23.654 0 22.314 0 20.744 0 19.616 0 18.395 0 17.054 0 16.349 0 16.112 0 1.34 0 1.57 0 2.349 0 1.221 0 0.2096 0 1 0.01667
838.858 567.459 18.084 0 17.488 0 16.548 0 15.954 0 15.343 0 14.494 0 14.151 0 13.982 0 0.596 0 0.94 0 1.205 0 0.611 0 -0.0808 0 1 0.225
507.715 848.249 17.929 0 17.243 0 16.392 0 15.855 0 15.281 0 14.449 0 14.151 0 13.97 0 0.686 0 0.851 0 1.111 0 0.574 0 0.07328 0 1 0
782.6 752.16 23.244 0 22.186 0 20.538 0 19.485 0 18.392 0 16.853 0 16.218 0 15.915 0 1.058 0 1.648 0 2.146 0 1.093 0 -0.12856 0 1 0
898.895 446.325 17.439 0 16.8 0 16.011 0 15.515 0 14.984 0 14.213 0 13.939 0 13.771 0 0.639 0 0.789 0 1.027 0 0.531 0 0.07092 0 1 0.01667
744.196 102.848 20.985 0 20.235 0 18.967 0 18.143 0 17.277 0 16.069 0 15.564 0 15.33 0 0.75 0 1.268 0 1.69 0 0.866 0 -0.16296 0 1 0
1015.09 496.934 15.631 0 15.154 0 14.5 0 14.091 0 13.656 0 13.033 0 12.799 0 12.668 0 0.477 0 0.654 0 0.844 0 0.435 0 0.00612 0 1 0.025
1830.887 791.021 23.638 0 22.259 0 20.546 0 19.427 0 18.192 0 16.385 0 15.761 0 15.362 0 1.379 0 1.713 0 2.354 0 1.235 0 0.14564 0 1 0.025
97.479 297.418 21.901 0 20.936 0 19.374 0 18.411 0 17.455 0 16.105 0 15.455 0 15.214 0 0.965 0 1.562 0 1.919 0 0.956 0 -0.15964 0 1 0.06667
1555.324 1754.015 18.416 0 17.947 0 17.014 0 16.408 0 15.779 0 14.919 0 14.537 0 14.379 0 0.469 0 0.933 0 1.235 0 0.629 0 -0.20276 0 1 0.03333
456.278 175.244 18.384 0 17.711 0 16.687 0 16.031 0 15.341 0 14.37 0 13.982 0 13.787 0 0.673 0 1.024 0 1.346 0 0.69 0 -0.06428 0 1 0.04167
1307.473 1776.867 22.964 0 21.532 0 19.896 0 18.82 0 17.826 0 16.48 0 15.638 0 15.429 0 1.432 0 1.636 0 2.07 0 0.994 0 0.25408 0 1 0.025
263.225 31.354 22.079 0 21.148 0 19.687 0 18.744 0 17.758 0 16.371 0 15.805 0 15.531 0 0.931 0 1.461 0 1.929 0 0.986 0 -0.12092 0 1 0.10833
104.096 980.919 14.556 0 14.603 0 13.949 0 13.479 0 12.983 0 12.341 0 12.112 0 11.978 0 -0.047 0 0.654 0 0.966 0 0.496 0 -0.51788 0 1 0.425
364.936 240.136 21.586 0 20.528 0 19.19 0 18.309 0 17.341 0 15.927 0 15.442 0 15.129 0 1.058 0 1.338 0 1.849 0 0.968 0 0.09464 0 1 0.01667
900.055 1512.118 22.248 0 21.075 0 19.602 0 18.671 0 17.842 0 16.644 0 15.867 0 15.686 0 1.173 0 1.473 0 1.76 0 0.829 0 0.11244 0 1 0.025
488.033 1653.385 23.119 0 21.771 0 20.188 0 19.171 0 18.271 0 16.985 0 16.157 0 15.96 0 1.348 0 1.583 0 1.917 0 0.9 0 0.20824 0 1 0
1268.274 38.316 17.319 0 16.797 0 15.971 0 15.419 0 14.815 0 13.954 0 13.657 0 13.468 0 0.522 0 0.826 0 1.156 0 0.604 0 -0.07272 0 1 0.10833
1642.121 1046.525 21.086 0 20.012 0 18.629 0 17.744 0 16.794 0 15.423 0 14.923 0 14.631 0 1.074 0 1.383 0 1.835 0 0.95 0 0.07824 0 1 0
1812.877 1046.372 23.552 0 22.301 0 20.64 0 19.576 0 18.442 0 16.816 0 16.215 0 15.871 0 1.251 0 1.661 0 2.198 0 1.134 0 0.05508 0 1 0
169.067 1894.397 17.24 0 16.839 0 15.967 0 15.375 0 14.731 0 13.836 0 13.522 0 13.326 0 0.401 0 0.872 0 1.236 0 0.644 0 -0.22684 0 1 0.01667
1824.156 234.743 21.169 0 20.228 0 18.943 0 18.121 0 17.243 0 15.987 0 15.517 0 15.254 0 0.941 0 1.285 0 1.7 0 0.878 0 0.0158 0 1 0.00833
318.483 1452.869 23.721 0 22.627 0 20.925 0 19.877 0 18.831 0 17.345 0 16.637 0 16.369 0 1.094 0 1.702 0 2.094 0 1.046 0 -0.13144 0 1 0
390.675 912.077 15.002 0 14.75 0 13.945 0 13.453 0 12.997 0 12.383 0 11.984 0 11.903 0 0.252 0 0.805 0 0.948 0 0.456 0 -0.3276 0 1 0.50833
1890.075 706.928 17.518 0 16.887 0 16.113 0 15.623 0 15.092 0 14.317 0 14.045 0 13.874 0 0.631 0 0.774 0 1.021 0 0.531 0 0.07372 0 1 0.01667
127.899 1862.084 22.43 0 21.433 0 19.822 0 18.798 0 17.743 0 16.255 0 15.604 0 15.32 0 0.997 0 1.611 0 2.079 0 1.055 0 -0.16292 0 1 0.01667
1079.404 595.812 22.578 0 21.351 0 19.726 0 18.731 0 17.798 0 16.451 0 15.696 0 15.474 0 1.227 0 1.625 0 1.928 0 0.933 0 0.057 0 1 0
858.182 1925.337 20.661 0 19.902 0 18.53 0 17.664 0 16.785 0 15.558 0 14.984 0 14.762 0 0.759 0 1.372 0 1.745 0 0.879 0 -0.22884 0 1 0.01667
1780.936 522.166 24.032 0 22.603 0 20.951 0 19.762 0 18.423 0 16.993 0 16.287 0 16.017 0 1.429 0 1.652 0 2.528 0 1.339 0 0.23956 0 1 0
127.338 619.971 23.822 0 22.424 0 20.626 0 19.44 0 18.135 0 16.23 0 15.574 0 15.154 0 1.398 0 1.798 0 2.491 0 1.305 0 0.10344 0 1 0.09167
198.077 221.667 22.093 0 20.926 0 19.513 0 18.61 0 17.637 0 16.219 0 15.718 0 15.408 0 1.167 0 1.413 0 1.876 0 0.973 0 0.14964 0 1 0.00833
1636.259 777.782 17.543 0 17.198 0 16.233 0 15.564 0 14.843 0 13.856 0 13.509 0 13.295 0 0.345 0 0.965 0 1.39 0 0.721 0 -0.3498 0 1 0.15833
822.407 417.151 22.065 0 21.146 0 19.298 0 18.044 0 16.677 0 14.764 0 14.096 0 13.682 0 0.919 0 1.848 0 2.621 0 1.367 0 -0.41156 0 1 0
1697.092 1743.579 22.464 0 21.463 0 19.936 0 19.013 0 18.119 0 16.844 0 16.169 0 15.956 0 1.001 0 1.527 0 1.817 0 0.894 0 -0.09844 0 1 0.025
1100.362 750.426 20.003 0 19.201 0 17.919 0 17.157 0 16.447 0 15.458 0 14.94 0 14.779 0 0.802 0 1.282 0 1.472 0 0.71 0 -0.12104 0 1 0.08333
711.616 1117.948 17.606 0 16.958 0 16.165 0 15.66 0 15.112 0 14.311 0 14.032 0 13.855 0 0.648 0 0.793 0 1.053 0 0.548 0 0.07704 0 1 0.01667
